session_id,duration_seconds,arrow_total,arrow_vertical,arrow_horizontal,arrow_density_per_min,arrow_to_keystroke_ratio,vertical_horizontal_ratio,deletion_count_weighted,deletion_ratio,deletion_to_char_ratio,raw_backspace_count,delete_key_count,deletion_sequences,max_consecutive_deletions,char_key_count,modifier_key_usage,typing_variance,typing_std,mean_keystroke_interval,median_keystroke_interval,pause_short_count,pause_medium_count,pause_long_count,typing_burst_count,typing_consistency_score,rhythm_irregularity,editor_click_count,click_density_per_min,total_click_count,mouse_movement_density,snapshot_count,code_growth_variance,sudden_jumps,deletion_events,growth_linearity_score,code_volatility,edit_navigation_switches,rapid_context_switches,selection_operations,copy_operations,paste_operations,undo_operations,redo_operations,save_operations,total_editing_operations,run_code_count,submit_code_count,run_to_submit_ratio,tab_switches,paste_density_per_min,tab_switch_density_per_min,avg_paste_length,max_paste_length,avg_paste_lines,max_paste_lines,large_pastes,pastes_without_copy,time_outside_editor_seconds,paste_to_copy_ratio,label,suspicion_type
session_1768987120559_yx13wfntc,326.22,65,42,23,11.993578822415078,0.14840182648401826,1.826086956521739,69,0.15753424657534246,0.45098039215686275,69,0,16,36,153,8,2182964.589583829,1477.4859016531525,898.5724137931035,174.0,26,8,4,34,1.6442591370196948,0.6494252873563219,0,0.0,1,1.8451659726792426,42,16.904638578595307,0,1,0.8780487804878049,14.609756097560975,49,2,1,0,0,0,0,0,1,3,1,3.0,1,0.0,0.18451659726792427,0,0,0,0,0,0,0.0,0,0,normal
session_1769012808332_kbiki56r4,754.205,236,55,181,18.82605707113883,0.23069403714565004,0.30386740331491713,130,0.1270772238514174,0.3194103194103194,125,1,46,25,407,21,1402569.7767766048,1184.3013876444647,648.209595959596,195.5,55,10,6,99,1.8270346428476574,0.4194373401534527,0,0.0,10,8.216457111556354,70,35.61911392837612,1,6,0.8405797101449275,18.18840579710145,46,6,10,0,0,0,0,0,10,7,1,7.0,1,0.0,0.07977142826753741,0,0,0,0,0,0,0.0,0,0,normal
session_1768663374476_2nax9y4h9,562.697,286,82,204,30.604819724057243,0.31019522776572667,0.4019607843137255,111,0.12039045553145336,0.30494505494505497,102,1,38,10,364,16,1529153.650035714,1236.5895236640629,701.8911174785101,244.0,49,14,5,85,1.7617967984926435,0.42213114754098363,0,0.0,7,5.885542254626393,77,18.73582104698668,0,4,0.7368421052631579,10.276315789473685,72,3,17,0,0,0,0,0,17,5,1,5.0,1,0.0,0.10700985917502533,0,0,0,0,0,0,0.0,0,0,normal
session_1768986572155_keb15de74,483.887,171,67,104,21.25107964183853,0.3064516129032258,0.6442307692307693,58,0.1039426523297491,0.31351351351351353,37,1,21,6,185,20,2530757.4915264817,1590.835469659412,988.8938547486033,237.0,25,16,5,39,1.608701947150672,0.620253164556962,0,0.0,6,7.829345131203669,50,14.794102633133924,1,3,0.8367346938775511,12.183673469387756,62,6,0,0,0,0,0,0,0,5,1,5.0,1,0.0,0.12427531954291537,0,0,0,0,0,0,0.0,0,0,normal
session_1768668597001_iqpox5wj4,246.809,150,8,142,36.61409154336532,0.39267015706806285,0.056338028169014086,24,0.06282722513089005,0.1791044776119403,20,0,13,3,134,18,2316592.900489801,1522.0357750361195,749.0708661417323,191.0,12,4,6,31,2.0318982406507504,0.49214659685863876,0,0.0,5,9.275569857652547,31,9.499473669630333,0,1,0.9,7.933333333333334,30,1,1,0,0,0,0,0,1,6,1,6.0,2,0.0,0.48818788724487094,0,0,0,0,0,0,1.087,0,0,normal
session_1768737632764_fyfc7213o,1304.029,569,253,316,26.201195093760987,0.2975941422594142,0.8006329113924051,180,0.09414225941422594,0.25604551920341395,166,6,62,19,703,25,1710902.3920900712,1308.0146757930781,683.8023952095808,189.5,74,20,19,167,1.9128547734790844,0.45118733509234826,0,0.0,6,2.348437521584904,167,27.271092321571402,3,25,0.7650602409638554,14.512048192771084,164,15,22,0,0,0,0,0,22,9,1,9.0,1,0.0,0.04604779454088047,0,0,0,0,0,0,0.0,0,0,normal
session_1768664331132_l5i54d59f,277.932,28,3,25,6.066536910182754,0.0625,0.12,1,0.002232142857142857,0.004219409282700422,1,0,1,1,237,6,3151655.636311406,1775.2902963491367,1066.5593220338983,244.0,37,12,14,68,1.6645021609897035,0.5655737704918032,0,0.0,1,5.6332128451697,52,5.794905556726549,0,0,1.0,9.549019607843137,46,1,0,0,0,0,0,0,0,1,2,0.5,1,0.0,0.21666203250652694,0,0,0,0,0,0,0.0,0,1,memorized_solution
session_1768662925145_vmx2qnp1k,153.804,8,1,7,3.141484613270155,0.027586206896551724,0.14285714285714285,3,0.010344827586206896,0.01818181818181818,3,0,3,1,165,4,1743313.0762566917,1320.3458169194507,795.5548780487804,263.0,23,6,4,41,1.6596539765525666,0.5228136882129277,0,0.0,1,5.497598073222771,28,5.9194408960020874,0,0,1.0,11.814814814814815,16,0,0,0,0,0,0,0,0,1,1,1.0,1,0.0,0.39268557665876935,0,0,0,0,0,0,0.0,0,1,memorized_solution
session_1768739539939_prw2qo4z1,193.657,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,162,4,1366128.1293159984,1168.8148396200309,636.6459627329192,221.0,16,5,3,42,1.8358945285739023,0.45248868778280543,1,0.3114375437959046,2,6.228750875918092,24,16.124046549382513,1,0,1.0,15.565217391304348,0,0,0,0,0,0,0,0,0,1,1,1.0,1,0.0,0.3114375437959046,0,0,0,0,0,0,0.0,0,1,memorized_solution
session_1768661594562_5emo5x52d,284.824,17,5,12,3.593801748983518,0.03563941299790356,0.4166666666666667,10,0.020964360587002098,0.05,10,0,4,6,200,8,2289995.636877856,1513.2731534253346,1192.5075376884422,405.0,51,17,6,38,1.2689841410635145,0.7555555555555555,0,0.0,1,1.9026009259324506,50,20.858800205728294,0,5,0.8571428571428571,15.693877551020408,28,0,0,0,0,0,0,0,0,2,2,1.0,1,0.0,0.2114001028813834,0,0,0,0,0,0,0.0,0,1,memorized_solution
session_1768761831880_zkkg9rb2b,119.038,4,3,1,2.033277982988241,0.017391304347826087,3.0,1,0.004347826086956522,0.008771929824561403,1,0,1,1,114,4,1500433.9719387752,1224.9220268812114,816.2857142857143,194.0,21,5,3,29,1.5006045131551418,0.5541237113402062,0,0.0,1,10.166389914941204,21,7.116705698565875,0,0,1.0,14.95,4,0,0,0,0,0,0,0,0,1,1,1.0,1,0.0,0.5083194957470603,0,0,0,0,0,0,0.0,0,1,memorized_solution
